RstIntPer,Regio,A1,A2,B1,B2
0,Exterior,0,0,0,0
1,Randstad,18496.15529,16315.21853,11128.20404,8318.202237
2,Intermediate zone,9863.082967,5887.648766,3881.095918,1436.384988
3,Peripheral zone,4041.675517,0,625.8866103,0
