RstIntPer,Regio,A1,A2,B1,B2
0,Exterior,0,0,0,0
1,Randstad,5155.424015,5061.170633,29421.66086,23416.4628
2,Intermediate zone,9166.545122,9785.850045,56909.53988,59038.81739
3,Peripheral zone,8419.030863,7893.979322,46409.79925,50285.71981
